entry_date,exit_date,direction,entry_price,exit_price,result,pnl_pips,hold_candles,cumulative_pips
2025-10-01 02:55:00,2025-10-01 03:15:00,Short,150.55020322430912,150.5202032243091,TP,3.0,4,3.0
2025-10-01 07:40:00,2025-10-01 07:45:00,Long,150.13769946191067,150.16769946191067,TP,3.0,1,6.0
2025-10-01 08:40:00,2025-10-01 08:50:00,Long,150.0476009211454,150.0776009211454,TP,3.0,2,9.0
2025-10-01 12:50:00,2025-10-01 13:00:00,Long,150.3797736903675,150.4097736903675,TP,3.0,2,12.0
2025-10-01 15:25:00,2025-10-01 15:35:00,Long,150.4993841885319,150.5293841885319,TP,3.0,2,15.0
2025-10-01 21:50:00,2025-10-01 21:55:00,Short,150.4502361779145,150.4202361779145,TP,3.0,1,18.0
2025-10-01 22:00:00,2025-10-01 22:05:00,Short,150.42085179380743,150.39085179380743,TP,3.0,1,21.0
2025-10-02 00:25:00,2025-10-02 00:30:00,Short,150.45271161382217,150.42271161382217,TP,3.0,1,24.0
2025-10-02 02:05:00,2025-10-02 02:15:00,Long,149.82470539849626,149.85470539849626,TP,3.0,2,27.0
2025-10-02 06:10:00,2025-10-02 06:25:00,Short,150.1184727269043,150.08847272690429,TP,3.0,3,30.0
2025-10-02 07:10:00,2025-10-02 07:15:00,Short,150.20728208617712,150.17728208617712,TP,3.0,1,33.0
2025-10-02 08:10:00,2025-10-02 08:15:00,Long,150.09471666760606,150.12471666760607,TP,3.0,1,36.0
2025-10-02 08:45:00,2025-10-02 08:50:00,Short,150.34870337006583,150.31870337006583,TP,3.0,1,39.0
2025-10-02 12:25:00,2025-10-02 12:30:00,Long,149.0815924105765,149.1115924105765,TP,3.0,1,42.0
2025-10-02 15:10:00,2025-10-02 15:15:00,Long,149.22032606221939,149.2503260622194,TP,3.0,1,45.0
2025-10-02 17:55:00,2025-10-02 18:00:00,Short,149.70924634043874,149.67924634043874,TP,3.0,1,48.0
2025-10-02 21:20:00,2025-10-02 21:25:00,Short,150.14715110403486,150.11715110403486,TP,3.0,1,51.0
2025-10-02 23:00:00,2025-10-02 23:10:00,Long,149.99719692638465,150.02719692638465,TP,3.0,2,54.0
2025-10-03 01:20:00,2025-10-03 01:25:00,Long,149.53876128505104,149.56876128505104,TP,3.0,1,57.0
2025-10-03 04:45:00,2025-10-03 04:55:00,Long,149.17496723261908,149.20496723261908,TP,3.0,2,60.0
2025-10-03 06:00:00,2025-10-03 06:05:00,Long,149.13277917422596,149.16277917422596,TP,3.0,1,63.0
2025-10-03 07:25:00,2025-10-03 07:40:00,Long,148.78618187368536,148.81618187368537,TP,3.0,3,66.0
2025-10-03 14:10:00,2025-10-03 14:50:00,Short,148.15869462044006,148.12869462044006,TP,3.0,8,69.0
